,date,close,diff,open,high,low,volume
603,2018.05.10,68800,1100,70300,71200,67700,2045440
602,2018.05.11,72200,3400,67800,74400,67300,3404548
601,2018.05.14,70200,2000,72300,73100,68700,1779496
598,2018.05.15,71900,1700,72000,73400,70800,1485813
597,2018.05.16,75000,3100,73200,76500,72400,2775889
596,2018.05.17,76700,1700,76000,78500,73700,2125813
595,2018.05.18,76700,0,77400,79400,76300,1547616
594,2018.05.21,76900,200,77400,78700,76800,903245
590,2018.05.23,74400,2500,77500,78100,74300,1255645
589,2018.05.24,80400,6000,73600,80500,73500,2492807
588,2018.05.25,82000,1600,80500,83900,80400,2386808
587,2018.05.28,80500,1500,79800,82400,78200,1828545
586,2018.05.29,78000,2500,82200,84100,77900,1801035
583,2018.05.30,81400,3400,79700,81700,78100,1418513
582,2018.05.31,80500,900,82800,83100,79700,1491376
581,2018.06.01,82000,1500,80500,83500,80400,1209685
580,2018.06.04,78500,3500,81500,82300,77400,1343836
579,2018.06.05,80500,2000,83100,83900,79300,2110623
575,2018.06.07,81700,1200,80800,82800,80500,1391767
574,2018.06.08,80300,1400,81700,82500,80000,1033078
573,2018.06.11,78200,2100,79400,80600,78000,1022693
572,2018.06.12,78500,300,78500,81400,78200,1433531
571,2018.06.14,78600,100,78500,79500,77900,986008
568,2018.06.15,81400,2800,78900,81600,78000,1602932
567,2018.06.18,78900,2500,81100,82300,78000,1239998
566,2018.06.19,72700,6200,78800,79000,72600,2036481
565,2018.06.20,74800,2100,75800,76200,73500,1073113
564,2018.06.21,71100,3700,75200,75700,70900,1010057
560,2018.06.22,72000,900,70500,72600,68900,993932
559,2018.06.25,75300,3300,72500,77800,71800,1461095
558,2018.06.26,77000,1700,74100,78400,73600,1015256
557,2018.06.27,74900,2100,77600,78000,74900,700671
556,2018.06.28,72000,2900,74300,74900,72000,671455
553,2018.06.29,73300,1300,72600,73400,71000,592266
552,2018.07.02,69100,4200,73300,73900,68700,1026229
551,2018.07.03,67900,1200,69600,70500,66400,990329
550,2018.07.04,69000,1100,68100,69600,67100,819749
549,2018.07.05,74500,5500,68300,77500,68200,1573024
545,2018.07.06,73200,1300,74400,74500,71200,931255
544,2018.07.09,72800,400,73900,76000,72700,1039642
543,2018.07.10,73200,400,73700,74500,73100,482704
542,2018.07.11,70000,3200,72000,73000,70000,719789
541,2018.07.12,70500,500,70000,71300,69700,504728
538,2018.07.13,70400,100,70000,71600,69700,507211
537,2018.07.16,70300,100,71000,72200,70000,550516
536,2018.07.17,68700,1600,70700,70900,68600,741515
535,2018.07.18,67100,1600,69300,69900,66700,854073
534,2018.07.19,62200,4900,67400,67700,58100,3812932
530,2018.07.20,61800,400,61900,65200,61100,2038993
529,2018.07.23,53600,8200,61300,62000,53300,2667093
528,2018.07.24,50300,3300,53800,54700,50300,3424127
527,2018.07.25,46300,4000,50300,50800,45300,7419416
526,2018.07.26,48900,2600,47300,50200,45600,5990446
523,2018.07.27,49400,500,49200,51800,48100,4038471
522,2018.07.30,50200,800,48800,51000,47550,2050824
521,2018.07.31,52200,2000,49900,52700,49750,1991424
520,2018.08.01,58300,6100,52500,60400,52400,5787849
519,2018.08.02,58500,200,58600,58700,55700,2381023
515,2018.08.03,59200,700,59000,60300,58200,1612282
514,2018.08.06,58500,700,59000,60800,58200,1644223
513,2018.08.07,59000,500,59300,59700,56400,1533578
512,2018.08.08,58900,100,59400,60400,58700,1263841
